pathway	A011.337.951	A011.796.405	A065.688.849	A139.426.047	A257.868.269	A290.419.594	A328.260.254	A328.607.302	A475.161.163	A510.125.355	A517.753.353	A519.936.442	A603.130.471	A603.362.293	A627.062.688	A674.187.094	A712.481.521	A742.300.741	A750.812.113	A866.438.792	A896.860.089	A912.362.107	A912.836.594	A929.187.519	description
PWY-5695	39788.371	29924.7407	29127.3542	40854.3017	41574.4405	46007.0244	35472.3183	46058.5919	39996.8867	14094.741000000002	40047.8041	39906.9615	33828.9321	39137.4809	29690.903	34246.3895	38849.0911	35046.0844	33365.9119	41179.3484	41649.5903	38121.9162	40344.0145	27121.1446	urate biosynthesis/inosine 5'-phosphate degradation
PWY-5705	928.8449	229.1857	510.2943	1432.355	779.3341	922.1091	1445.9941	1107.4115	265.9358	1958.5848	692.1196	1029.7617	609.6838	779.4825	437.5169	604.5592	306.1291	1726.6584	490.8766	582.183	946.0732	146.0434	1290.9764	410.8222	allantoin degradation to glyoxylate III
PWY-5741	0.0	0.0	0.0	0.0	0.0	0.0	67.6637	0.0	498.281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ethylmalonyl-CoA pathway
PWY-5747	44.4046	1.9575	549.4312	88.1187	4.4354	1.4331	883.9766	38.6703	0.7904	1896.7	165.6643	166.3004	0.2	12.0202	17.7902	11.8191	222.9924	944.6161	374.5276	0.0	588.2996	35.5077	37.1904	4.492	2-methylcitrate cycle II
PWY-5823	0.0	0.5799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	860.7553	0.0	47.397	0.0	0.0	995.8385	62.417	0.0	0.0	1623.2939	0.0	0.0	0.0	superpathway of CDP-glucose-derived O-antigen building blocks biosynthesis
PWY-5837	458.3445	329.3817	108.3437	2859.8528	2322.1049	837.9785	3504.6822	251.8286	674.8688	11063.7656	897.7886	1384.2325	312.2813	566.0837	2521.8720000000003	2986.137	2147.8901	2082.7825	7221.8029	433.6237	1491.2920000000001	1185.3112	497.7307	1314.2767	1,4-dihydroxy-2-naphthoate biosynthesis I
PWY-5838	1473.9163	1088.9405	363.469	7848.3743	6447.3556	2682.8504	8550.0708	847.8252	2152.3078	13862.7	2809.1756	4128.5758	1024.3047	1845.8435	6159.5995	7311.0104	5962.3409	5799.5637	14505.6937	1432.8661	4463.9755	3556.5375	1622.8959	3699.8504	superpathway of menaquinol-8 biosynthesis I
PWY-5840	1478.8316	1084.4194	363.87300000000005	7767.3654	6429.6844	2676.2397	8602.9564	846.8023	2154.0046	11573.6381	2811.7128	4135.2284	1025.8956	1841.0848	6209.6888	7347.7813	5983.6773	5771.8629	14136.1341	1430.0091	4450.2332	3568.5231	1622.0813	3730.6759	superpathway of menaquinol-7 biosynthesis
PWY-5845	911.3102	109.6918	263.4339	834.6569	131.2152	963.4776	5587.6109	469.5526	158.3608	10698.4277	1933.2256	1673.9858	181.7353	293.0899	327.8668	383.0395	1626.251	4658.562	2429.7617	69.6368	2842.9765	588.0049	379.8914	414.2343	superpathway of menaquinol-9 biosynthesis
PWY-5850	911.3102	109.6918	263.4339	834.6569	131.2152	963.4776	5587.6109	469.5526	158.3608	10698.4277	1933.2256	1673.9858	181.7353	293.0899	327.8668	383.0395	1626.251	4658.562	2429.7617	69.6368	1087.9868	588.0049	379.8914	414.2343	superpathway of menaquinol-6 biosynthesis I
PWY-5855	554.1457	165.6441	3714.1497	503.0455	27.3924	53.5061	2698.1313	932.4299	1225.5341	5423.9456	533.6722	1998.9809	42.8418	2080.9798	392.6648	3341.5269	712.4764	2282.4079	1610.9776	1650.9471	1423.5389	1205.0009	623.5963	519.8943	ubiquinol-7 biosynthesis (prokaryotic)
PWY-5856	554.1457	165.6441	3714.1497	503.0455	27.3924	53.5061	2698.1313	932.4299	1225.5341	5423.9456	533.6722	1998.9809	42.8418	2080.9798	392.6648	3341.5269	712.4764	2282.4079	1610.9776	1650.9471	1423.5389	1205.0009	623.5963	519.8943	ubiquinol-9 biosynthesis (prokaryotic)
PWY-5857	554.1457	165.6441	3714.1497	503.0455	27.3924	53.5061	2698.1313	932.4299	1225.5341	5423.9456	533.6722	1998.9809	42.8418	2080.9798	392.6648	3341.5269	712.4764	2282.4079	1610.9776	1650.9471	1423.5389	1205.0009	623.5963	519.8943	ubiquinol-10 biosynthesis (prokaryotic)
PWY-5860	614.5164	73.2521	176.4741	561.6498	87.6423	649.6428	4034.5277	314.561	105.8416	9413.2999	1328.2789	1145.0941	121.5522	196.0945	220.0184	256.9267	1111.7151	3348.1688	1673.8837	46.4636	736.0583	396.0242	254.6236	278.7801	superpathway of demethylmenaquinol-6 biosynthesis I
PWY-5861	1000.9901	738.3915	243.9365	5732.4395	4737.7469	1846.5379	6458.005	570.2113	1485.9561	13471.7904	1957.28	2936.4509999999996	695.622	1258.9165	4682.3576	5516.1578	4372.0965	4249.4765	11979.4551	972.0729	3165.3774	2526.16	1107.2453	2692.9559	superpathway of demethylmenaquinol-8 biosynthesis
PWY-5862	614.5164	73.2521	176.4741	561.6498	87.6423	649.6428	4034.5277	314.561	105.8416	9413.2999	1328.2789	1145.0941	121.5522	196.0945	220.0184	256.9267	1111.7151	3348.1688	1673.8837	46.4636	1970.4015	396.0242	254.6236	278.7801	superpathway of demethylmenaquinol-9 biosynthesis
PWY-5863	522.9757	375.7365	123.7669	3230.1808	2632.3222	954.9969	3947.5215	287.553	769.4132	11397.4859	1022.7041	1574.0649	356.4607	645.4773	2848.1729	3369.3742	2435.4005	2360.1685	8005.8896	494.7322	1694.7916	1348.5475	567.682	1493.7114	superpathway of phylloquinol biosynthesis
PWY-5896	911.3102	109.6918	263.4339	834.6569	131.2152	963.4776	5587.6109	469.5526	158.3608	10698.4277	1933.2256	1673.9858	181.7353	293.0899	327.8668	383.0395	1626.251	4658.562	2429.7617	69.6368	1087.9868	588.0049	379.8914	414.2343	superpathway of menaquinol-10 biosynthesis
PWY-5897	1305.4529	959.0537	319.3352	7127.5253	5840.6125	2375.9389	7920.879	744.2495	1907.9111	13712.8861	2499.1928	3702.5328	903.7034	1629.6971	5697.488	6750.7671	5413.5797	5255.6452	13740.4672	1262.2296	3997.0941	3187.6633	1432.8823	3355.1576	superpathway of menaquinol-11 biosynthesis
PWY-5898	1305.4529	959.0537	319.3352	7127.5253	5840.6125	2375.9389	7920.879	744.2495	1907.9111	13712.8861	2499.1928	3702.5328	903.7034	1629.6971	5697.488	6750.7671	5413.5797	5255.6452	13740.4672	1262.2296	3997.0941	3187.6633	1432.8823	3355.1576	superpathway of menaquinol-12 biosynthesis
PWY-5899	1305.4529	959.0537	319.3352	7127.5253	5840.6125	2375.9389	7920.879	744.2495	1907.9111	13712.8861	2499.1928	3702.5328	903.7034	1629.6971	5697.488	6750.7671	5413.5797	5255.6452	13740.4672	1262.2296	3997.0941	3187.6633	1432.8823	3355.1576	superpathway of menaquinol-13 biosynthesis
PWY-5910	472.9555	317.2577	77.7187	15.9862	108.1256	305.1843	863.4697	12.8254	1.9998	3.9989	124.463	65.4777	1237.9489	130.7235	238.8825	91.3709	24.4805	4126.4181	114.5781	26.7491	95.8758	239.7846	1848.1274	77.3409	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)
PWY-5913	21197.9461	15068.9518	14702.666000000001	21707.3311	12034.8612	18592.4969	16950.3309	34021.7092	23876.6946	17786.0539	34071.0522	16883.8426	8788.0935	17519.3183	11324.8348	15351.8529	10593.0844	22329.3304	29683.4153	14466.2059	13402.7272	13614.7706	13489.5165	5521.6515	TCA cycle VI (obligate autotrophs)
PWY-5918	6669.1191	4636.8682	5125.1291	6948.8931	3677.9834	972.3985	4339.8859	5318.3606	5755.6077	6587.5832	9961.5334	6574.3164	833.7602	4970.5937	6116.4148	5081.93	1328.9112	7123.7877	3444.5440000000003	2392.2258	3268.5735	939.9334	3347.0252	2035.9681	superpathay of heme biosynthesis from glutamate
PWY-5920	1547.6745	9.1475	2792.6825	271.7892	14.3561	65.7089	1738.0102	1389.2979999999998	3607.7186	2296.2582	619.474	2786.4599	0.7995	792.3289	512.132	2018.8778	644.5269	3892.7425	1707.6312	1011.2358	1581.1706	155.6142	141.4876	40.3741	superpathway of heme biosynthesis from glycine
PWY-5971	18016.5345	22976.8211	12766.1782	1543.658	34833.3255	29727.1259	22385.6488	2556.1392	11478.8695	390.6207	10775.4116	21803.3941	28677.5596	5546.356	20584.6485	12798.8405	13232.1031	31954.2933	14854.6307	3336.1593	17022.7188	23154.1163	39208.8298	7605.6228	palmitate biosynthesis II (bacteria and plants)
PWY-5973	49317.6125	37350.3927	46151.2795	52962.1336	58794.9686	56178.1555	43612.0937	58778.6811	52660.121	22829.3998	50235.3632	53867.8739	46886.6157	49826.3768	39327.5427	45522.005	49331.5651	47621.2728	44777.9959	51036.5629	53776.6233	49147.9436	52373.9816	41478.6888	cis-vaccenate biosynthesis
PWY-5989	20302.2897	39513.3761	13344.4913	39061.3742	54694.7866	56048.9593	26074.0505	48391.0837	33800.9258	13766.1974	10888.238000000001	28518.327	29106.4452	40174.0759	24952.991	25092.1842	19544.278000000002	28706.1282	26630.3612	40956.6559	35794.2218	31772.2421	42853.0774	5852.89	stearate biosynthesis II (bacteria and plants)
PWY-6071	0.0	0.0	0.0	113.9106	0.0	29.0587	19.5815	0.0	0.0	1724.7891	0.9447	0.0	0.0	0.0	0.0	1.4632	23.596999999999998	3.5258	0.0	0.0	3.2707	5.3752	0.0	12.9312	superpathway of phenylethylamine degradation
PWY-6121	46753.0555	32190.2471	41962.7211	43841.1215	48361.8036	50786.7123	41844.9865	51142.9227	48025.742999999995	20643.9586	46099.4555	48173.2534	43185.4634	43429.3791	35788.8504	40401.3684	45461.7592	42533.1607	40840.3289	44407.3222	47094.1372	44705.8101	44824.5765	38277.0213	5-aminoimidazole ribonucleotide biosynthesis I
PWY-6122	46418.0966	30861.285	41748.379	41623.5914	45839.3933	47680.9869	40631.8238	49393.1218	46862.1594	20005.6367	44618.5573	46602.1997	41968.8369	41185.6102	35301.6364	40247.5673	43708.0754	41050.4059	39038.5323	41837.1545	45267.9353	43294.3972	42885.0796	37277.2853	5-aminoimidazole ribonucleotide biosynthesis II
PWY-6123	43057.9271	30816.4043	38531.7828	42071.394	46134.869000000006	49061.1136	37687.6126	50432.2304	45041.7454	18222.5104	44183.6207	45331.8565	40632.83	41271.2312	33957.2172	37797.6537	42592.0496	41149.8266	37612.9224	42171.4366	45781.762	41840.3734	42600.0568	35813.1056	inosine-5'-phosphate biosynthesis I
PWY-6125	25723.1571	25053.2791	19939.6354	35757.5554	35023.5195	39662.329	22382.0404	40899.7542	29827.1487	17075.0164	27878.4235	28854.9661	22614.9869	29910.8442	21035.4543	25545.3831	19852.4653	28557.5933	29586.7015	30051.8522	33403.3555	21071.616	33553.4116	13048.1828	superpathway of guanosine nucleotides de novo biosynthesis II
PWY-6126	46469.1214	31678.5565	41449.6961	44154.0104	46667.2322	47331.3607	40731.394	46687.4998	49460.1678	20898.8984	45482.509000000005	48267.8728	43795.7673	42489.5735	36272.1841	38767.6916	44408.509000000005	42665.9635	38036.6158	42176.4539	47036.7695	45333.3952	44934.2487	37788.2777	superpathway of adenosine nucleotides de novo biosynthesis II
PWY-6141	268.4978	0.0	0.0	0.0	0.0	0.0	281.2033	0.0	0.0	0.0	0.0	0.0	0.0	20.078	27.9515	30.2844	16.0954	42.0935	139.3852	0.0	0.0	27.8205	0.0	3.4995	archaetidylserine and archaetidylethanolamine biosynthesis
PWY-6143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.8034	0.0	CMP-pseudaminate biosynthesis
PWY-6147	23363.702999999998	25743.5406	24787.6511	31861.2463	34794.716	39796.2979	27322.9008	44034.419	33012.7984	13013.0405	32166.6755	32026.4967	23533.0268	32219.3315	21927.2653	25403.7276	29139.1524	30577.1192	28802.5656	33845.2709	33487.5057	30018.6224	31923.3337	21866.259	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I
PWY-6148	465.1549	0.0	0.0	0.0	0.0	0.0	290.9044	0.0	0.0	0.0	0.0	0.0	0.0	12.7653	47.9171	51.9059	28.5448	85.4613	268.9302	0.0	0.0	46.0007	0.0	6.8005	tetrahydromethanopterin biosynthesis
PWY-6151	29102.6421	20895.3009	27976.882999999998	24170.2728	38963.913	35959.675	27178.1049	36970.4382	33805.0397	11104.0358	29275.2418	35226.0027	32126.6091	27119.958	23545.827	25447.9675	33618.7881	30345.1225	23494.0079	31493.5497	35834.152	29162.3345	31322.0573	24016.0588	S-adenosyl-L-methionine cycle I
PWY-6163	41674.3952	27230.1806	39291.4314	38125.0247	44612.1187	45489.5724	37855.3636	44850.3133	43643.8266	18542.0595	43784.0262	44157.5291	39422.8621	38819.5199	32414.4421	35526.6712	41288.6585	38409.937999999995	35504.422999999995	39325.8533	42996.175	40989.3117	41227.3779	36457.3028	chorismate biosynthesis from 3-dehydroquinate
PWY-6165	248.3487	7.9744	0.0	344.9874	419.3984	0.0	1574.8852	0.0	3.0417	85.9607	19.8323	23.7349	0.0	1429.3247	87.9059	103.8318	21.0566	163.4712	498.61800000000005	5.3329	78.6619	126.9062	0.0	19.5534	chorismate biosynthesis II (archaea)
PWY-6167	851.7632	0.0	0.0	0.0	0.0	0.0	930.5938	0.0	0.0	0.0	0.0	0.0	0.0	82.9112	89.4896	95.125	50.6988	133.2103	425.7706	0.0	0.0	81.811	0.0	11.1841	flavin biosynthesis II (archaea)
PWY-6174	358.8508	0.0	0.0	0.0	0.0	0.0	637.7036	0.0	0.0	0.0	0.0	0.0	0.0	319.3212	49.9945	47.5149	22.8408	82.9636	176.2483	0.0	20.76	50.7017	0.0	6.6683	mevalonate pathway II (archaea)
PWY-6182	0.0	0.0	0.0	0.0	0.0	0.0	3.736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0936	0.0	0.0	0.0	0.0	0.0	superpathway of salicylate degradation
PWY-6185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.230999999999998	0.0	0.0	0.0	0.0	0.0	4-methylcatechol degradation (ortho cleavage)
PWY-621	13313.2433	16874.0347	28977.3287	25733.9934	31774.0701	35698.3178	22052.9671	27036.4075	44952.8097	13249.8406	28574.087000000003	32206.4771	30343.6378	23681.8788	22460.8958	18328.8614	22160.7048	20541.5056	18487.8165	24501.3461	29764.2891	25611.6825	30846.3433	24953.963	sucrose degradation III (sucrose invertase)
PWY-6210	0.0	0.0	0.0	0.0	0.0	0.0	3.4286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2-aminophenol degradation
PWY-6263	4569.7104	424.5446	3298.4927	2841.664	1349.0733	0.0	2359.218	11278.6652	1941.8007	1169.6715	1626.8120000000001	658.3238	3486.5089	5820.0402	3016.2618	4577.2961	3796.8483	3742.4559999999997	1692.0166	4918.3409	4484.2224	6478.5171	1631.2745	3970.0622	superpathway of menaquinol-8 biosynthesis II
PWY-6269	31105.7204	21716.4271	30386.7026	31011.4539	37803.9883	42490.5215	26866.2367	37143.6497	35901.6187	12805.6037	36144.867	38747.9756	35281.8414	28865.6893	27497.2046	27028.1319	32524.796000000002	27680.9247	26704.292999999998	32502.8364	32294.8919	33752.0874	31214.2817	32260.3533	adenosylcobalamin salvage from cobinamide II
PWY-6277	46418.0966	30861.285	41748.379	41623.5914	45839.3933	47680.9869	40631.8238	49393.1218	46862.1594	20005.6367	44618.5573	46602.1997	41968.8369	41185.6102	35301.6364	40247.5673	43708.0754	41050.4059	39038.5323	41837.1545	45267.9353	43294.3972	42885.0796	37277.2853	superpathway of 5-aminoimidazole ribonucleotide biosynthesis
PWY-6282	20159.6099	37332.8021	13312.7562	37507.8763	52975.8965	53326.8145	25565.4868	46282.4513	32927.0821	13832.2858	10779.6773	27954.9672	28739.4393	38513.6627	24629.6697	24778.6259	19242.6999	27928.2015	25835.5332	39192.8263	34627.0429	30953.1533	41265.9611	5841.132	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)
PWY-6317	29933.9391	17487.5914	32666.0946	25560.6535	37113.9581	30898.0224	31773.3206	26235.8544	39547.5195	13883.8676	42404.1927	40104.9605	35404.4372	25280.9752	27938.001	27743.9041	34199.3633	25709.5807	26005.5597	27736.8542	33598.7318	34030.4867	33623.1897	32224.191000000003	galactose degradation I (Leloir pathway)
PWY-6349	299.4211	0.0	0.0	0.0	0.0	0.0	526.9095	0.0	0.0	0.0	0.0	0.0	0.0	305.0142	31.8892	34.5551	18.6572	47.7819	157.3122	0.0	13.3285	32.5532	0.0	3.9989	CDP-archaeol biosynthesis
PWY-6350	284.149	0.0	0.0	0.0	0.0	0.0	499.3636	0.0	0.0	0.0	0.0	0.0	0.0	286.6455	29.9221	32.4215	17.4933	44.8465	148.4049	0.0	12.4966	30.5451	0.0	3.7492	archaetidylinositol biosynthesis
PWY-6353	14856.0589	5406.3218	16242.5464	12435.3946	8517.926	11067.0346	15213.5647	6853.9534	11649.7938	8472.3073	11423.7802	13983.9823	15104.3449	11307.9724	9114.7808	13553.5934	13249.0003	14396.8772	9780.851999999999	7986.2626	13432.685	14394.0115	9806.9663	13059.5532	purine nucleotides degradation II (aerobic)
PWY-6383	201.5466	37.2325	0.0	7.6545	50.3704	71.1309	5.9958	1.9993	0.0	0.0	0.0	13.9784	3.9958	5.9887	23.8863	7.9837	0.0	73.7856	1.9983	9.8921	5.9945	5.3308	117.5719	9.9841	mono-trans, poly-cis decaprenyl phosphate biosynthesis
PWY-6385	42271.2765	27466.1745	38608.1903	39254.5389	42284.8101	43662.2464	36047.1591	44450.055	42414.3229	14666.051000000001	41995.6937	43233.9629	39444.8282	37663.8747	32893.4304	35581.3389	40255.8113	38036.346	33879.718	38943.4993	42248.3969	40544.3978	40630.4365	35674.8006	peptidoglycan biosynthesis III (mycobacteria)
PWY-6386	43428.3994	27764.2681	39541.9816	39934.9979	43046.6643	44387.0554	36725.7623	44693.3716	43195.5744	13833.5562	43091.6053	44420.9124	40299.895	38289.1686	33617.4414	36105.8151	41157.3464	38674.776	33923.9631	39686.242	42857.7392	41637.3073	41161.8464	36755.6807	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)
PWY-6387	42963.6395	27641.9593	39253.7179	39726.9319	42635.3228	43987.8886	36831.2361	44942.7891	43290.8357	15150.8834	42513.1063	44044.5186	39927.6868	38026.858	33391.8949	36347.1907	40913.2019	38636.5693	34401.2746	39305.1411	42577.9899	41190.1217	41173.3747	36658.1983	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)
PWY-6396	210.5299	142.7173	4.9739	434.7555	84.8069	182.9326	99.6141	0.0	36.4635	208.0622	18.2858	109.1838	17.2493	163.7054	91.8495	85.7718	55.3939	265.5013	479.2683	24.6109	59.2171	24.4109	652.8895	70.41199999999999	superpathway of 2,3-butanediol biosynthesis
PWY-6397	0.0	0.0	0.0	0.0	26.3274	0.8746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	mycolyl-arabinogalactan-peptidoglycan complex biosynthesis
PWY-6467	11886.35	19843.62	10810.21	24860.31	23037.89	26463.69	15748.69	31978.11	18963.6	13993.02	18467.38	18720.2	13461.01	23320.81	13474.87	16518.72	17884.27	19732.04	21640.77	24829.95	23430.77	16126.02	21175.6	10552.46	Kdo transfer to lipid IVA III (Chlamydia)
PWY-6470	1031.7424	1101.6555	11.9897	28.7298	459.5547	1192.7413	810.6101	51.6583	105.0956	129.8156	342.8133	237.5058	244.6419	242.4151	668.4066	370.8864	94.0725	2249.6802	572.0592	66.9011	393.3466	980.8323	4902.8849	276.8886	peptidoglycan biosynthesis V (&beta;-lactam resistance)
PWY-6471	15363.0302	4783.8397	12058.3573	10826.2777	16866.5659	10421.1489	12148.8476	6013.5521	19775.6426	3216.5337	20739.9793	20756.1643	21516.4652	13218.4147	15274.1134	11508.0779	20591.9541	11153.3495	11654.3973	13448.1476	19051.3809	15255.6144	17441.955	17924.3417	peptidoglycan biosynthesis IV (Enterococcus faecium)
PWY-6478	1378.5525	7394.8403	1952.3211	3077.1679	1657.9402	2176.6069	2969.6579	1719.3053	3280.9404	419.245	2820.9092	1844.0509	1459.4477	3124.9073	4224.8254	2513.5838	1024.0058	2111.899	571.4468	1607.8019	2090.4718	3934.3923	2071.0397	1959.6426	GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis
PWY-6507	23390.3182	27397.857999999997	17239.0521	27986.1041	37283.5475	44285.307	24593.6456	43639.6031	34599.8293	11034.3152	35368.9255	33465.1754	29173.9889	31767.5789	21572.2886	20013.922	29571.4213	27124.4051	27286.9695	34109.1202	28937.6464	26627.0554	29759.1005	17071.0788	4-deoxy-L-threo-hex-4-enopyranuronate degradation
PWY-6519	19456.3989	31982.0059	13427.2077	36302.3219	44638.1222	50477.8837	24582.5421	46262.5981	30553.283	13420.5925	14748.1943	28190.6472	25720.1788	36550.3688	19837.6241	22941.5587	22589.2013	26346.0032	27705.5708	38186.6724	32990.177	28592.5879	36161.8544	8327.4098	8-amino-7-oxononanoate biosynthesis I
PWY-6545	15799.7217	11578.3421	12745.4804	18663.9163	15253.6719	14031.391000000001	13821.4629	17288.767	13308.3948	4485.5869	14750.9326	18968.0844	14654.5703	13391.083999999999	14160.377	14997.7316	11151.8546	15670.9264	12393.4127	11245.8578	14444.5415	13489.0387	14270.178999999998	8618.1567	pyrimidine deoxyribonucleotides de novo biosynthesis III
PWY-6562	0.0	0.0	0.0	137.7355	0.0	34.5658	16.91	0.0	0.0	2156.8907	0.86	0.0	0.0	0.0	0.0	1.3678	33.3791	3.0883	0.0	0.0	96.005	120.4899	0.0	17.2955	norspermidine biosynthesis
PWY-6572	4699.1391	11409.9335	3974.6811	14834.5173	6547.0656	14156.378	7133.1545	6420.2914	11585.5075	4081.0862	15896.7759	8496.0682	6661.6043	10685.2568	4448.4387	2389.2163	13301.0537	6264.7021	11689.9446	15959.3287	11073.4742	11821.765	4738.7475	8617.7916	chondroitin sulfate degradation I (bacterial)
PWY-6588	22833.2834	2534.2314	6724.9523	4248.6518	2780.4966	4481.617	11695.9125	1591.2683	3933.4590000000003	5318.9187	6252.158	7998.7214	9831.7105	7769.9249	8123.5699	9536.0433	12095.9535	12575.7515	7159.1628	4852.710999999999	5141.505	12489.491000000002	3800.427	12666.6823	pyruvate fermentation to acetone
PWY-6590	1223.0467	114.1834	6454.8765	1946.7414	555.0415	1919.5369	6391.0426	1870.2494	7393.9464	1688.2774	2132.3038	4496.6001	382.4431	913.1006	682.3762	3306.377	2294.4284	6724.7169	4004.857	1925.781	4459.2187	953.8522	547.2909999999999	808.2389	superpathway of Clostridium acetobutylicum acidogenic fermentation
PWY-6608	25942.8651	6359.6687	14715.5836	10805.4642	10583.7479	12248.7848	17402.1255	5218.8019	17771.5725	10598.7435	8269.9974	13154.5847	12389.8036	11089.8728	8216.5041	14060.2461	14082.5817	15190.0977	8004.2423	7402.9844	10731.5706	14075.1913	8888.8846	11572.1181	guanosine nucleotides degradation III
PWY-6609	41543.1687	25959.1274	36411.1879	35552.5098	40153.8256	43569.5425	35240.6108	40765.5502	41898.0738	11864.0462	42144.1562	41333.018	39307.7801	36095.8378	31726.9046	33298.6551	40326.2298	32607.2294	30673.1938	37995.3563	39307.6502	40264.9815	37116.1785	36366.0276	adenine and adenosine salvage III
PWY-6612	24725.3216	24776.2952	23758.0804	29903.1842	34671.6974	38662.9597	28060.6549	39199.5428	32715.2074	17244.7763	30967.3007	31981.5301	25313.4457	31347.6501	22269.4056	25912.7421	30162.1186	29877.4441	29556.4173	32637.4111	33987.6222	29275.6577	31253.3579	22405.5332	superpathway of tetrahydrofolate biosynthesis
PWY-6628	11679.8853	13207.0346	12123.6049	26453.1039	12647.4185	23798.0261	12739.8987	27305.1128	11267.8659	13877.6103	10885.7483	17663.0158	11510.3601	13474.4269	16041.21	15784.046	9699.0748	24380.9731	10902.1659	9837.2773	21298.9973	9911.7065	22810.461	13220.7958	superpathway of L-phenylalanine biosynthesis
PWY-6629	434.8168	552.7984	3816.7797	17897.1439	3188.6136	0.0	8580.6776	8673.3398	4.7995	10560.6509	1864.5562	1890.1032	7165.4481	4928.5039	3301.9385	1040.8876	38.3645	11003.7673	2293.7916	6848.7361	6951.8833	385.20099999999996	22232.0818	35.9641	superpathway of L-tryptophan biosynthesis
PWY-6630	11663.0207	12980.4318	12083.0572	26103.1857	12645.8315	23675.9351	12669.8489	26563.5535	11235.1041	13850.2982	10830.9682	17567.5082	11512.208999999999	13408.4461	15876.7368	15610.6515	9689.3114	24253.0823	10871.9165	9814.8836	21062.5267	9902.0816	22734.3556	13171.9435	superpathway of L-tyrosine biosynthesis
PWY-6641	867.2289999999999	121.9866	0.0	0.0	0.0	0.0	406.0872	0.0	5.8088	0.0	19.8653	0.0	0.0	719.8308	114.4153	120.1687	63.6978	171.1265	199.9039	0.0	1016.6147	93.0268	64.7467	14.8513	superpathway of sulfolactate degradation
PWY-6654	468.371	0.0	0.0	0.0	0.0	0.0	811.4913	0.0	0.0	0.0	0.0	0.0	0.0	457.8993	47.9395	51.9409	27.986	71.8966	240.8668	0.0	19.9927	48.9515	0.0	5.9991	phosphopantothenate biosynthesis III
PWY-6690	39.9273	1.0909	0.0	70.0	3.9273	0.0	950.9329	7.2	0.4364	1856.9455	176.9455	178.2545	0.2182	6.9818	3.2727	7.8545	14.2	959.7818	216.0	0.0	76.5392	34.2545	33.1636	10.25	cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate
PWY-6700	19842.2871	26738.5645	18051.1932	34027.2473	32852.3256	40117.5433	24526.7423	44331.5877	27093.8908	15808.2983	37029.8089	31870.3931	21959.2323	31193.9649	22706.5685	23653.0653	28179.6564	31153.3468	28604.7644	32087.8001	33936.4894	24670.9021	31259.3909	19886.6403	queuosine biosynthesis
PWY-6703	27353.8798	20996.1882	22536.8779	29223.8157	27132.2284	34051.6773	23715.5182	38627.6063	23533.3077	14834.6295	28760.8448	26505.5002	20791.5528	26559.1015	20756.3553	23061.7662	25891.7925	26251.127999999997	25845.8421	29149.2256	29169.9871	24273.4831	26073.043999999998	18260.8056	preQ0 biosynthesis
PWY-6708	554.1457	165.6441	3714.1497	503.0455	27.3924	53.5061	2698.1313	932.4299	1225.5341	5423.9456	533.6722	1998.9809	42.8418	2080.9798	392.6648	3341.5269	712.4764	2282.4079	1610.9776	1650.9471	1423.5389	1205.0009	623.5963	519.8943	ubiquinol-8 biosynthesis (prokaryotic)
PWY-6728	0.0	0.0	0.0	0.0	0.0	0.0	243.9971	0.0	127.3867	0.0	0.0	0.0	0.0	0.0	25.593000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	methylaspartate cycle
PWY-6737	42585.996	37600.6923	44284.5023	54099.2172	63066.7411	62669.4616	46560.5363	56867.3682	63316.4478	22123.2226	58533.9795	60923.9474	51960.9782	50628.7466	40342.5171	40771.9916	52087.4223	42285.4203	47867.3555	55974.1869	54336.1249	54510.6981	55111.437000000005	46366.9115	starch degradation V
PWY-6749	3719.6167	2310.2151	3611.5159	9745.1001	4992.0375	2750.5655	2390.833	1098.0322	7902.7628	1975.3095	10402.0757	10808.9109	8881.1265	7926.4822	7105.6889	3025.6556	8560.5484	3697.6069	2784.3725	5067.8886	7721.6364	4822.2905	9796.003	9834.8337	CMP-legionaminate biosynthesis I
