PID	A011.337.951	A011.796.405	A065.688.849	A139.426.047	A257.868.269	A290.419.594	A328.260.254	A328.607.302	A475.161.163	A510.125.355	A517.753.353	A519.936.442	A603.130.471	A603.362.293	A627.062.688	A674.187.094	A712.481.521	A742.300.741	A750.812.113	A866.438.792	A896.860.089	A912.362.107	A912.836.594	A929.187.519	Pathway	Pathway1	Pathway2
ko00604	60575.24	85468.25	38211.92	128583.92	132236.94	159694.78999999998	72609.56	168917.41999999998	90610.01	65609.34	92452.43	86189.8	67812.38	110947.12	46814.11	77227.93000000001	77346.97	75893.79	124982.11	132157.06	85431.68	80245.51	100446.35	47440.77	Glycosphingolipid biosynthesis - ganglio series	Metabolism	Glycan biosynthesis and metabolism
ko00603	94052.57	132571.34	87743.31	186942.32	196811.33000000002	224797.08	129573.16	244191.21999999997	174160.34999999998	100863.10999999999	178966.27999999997	151939.88	124233.09	167973.98	90571.86	119802.97	127522.76000000001	121212.48	177468.47	202712.66999999998	134191.38	142310.86	157290.68	97976.64	Glycosphingolipid biosynthesis - globo and isoglobo series	Metabolism	Glycan biosynthesis and metabolism
ko00601	0.0	326.0	355.4	801.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	133.4	560.0	0.0	0.0	41.8	1.4	27.0	109.4	0.0	0.0	0.0	0.0	1256.6	Glycosphingolipid biosynthesis - lacto and neolacto series	Metabolism	Glycan biosynthesis and metabolism
ko00537	38109.88	38331.54	32543.21	62479.130000000005	62310.23999999999	70043.54000000001	50239.88	62356.77	54115.869999999995	35789.97	61465.69	59405.240000000005	42470.89	57667.66000000001	33031.79	42064.75000000001	51060.43	43180.57	56787.93	63361.33	48751.469999999994	50423.98	54556.42	44644.36	Glycosylphosphatidylinositol (GPI)-anchored proteins	Brite Hierarchies	Protein families: signaling and cellular processes
ko01003	232628.0100000001	209576.48999999985	182091.46999999997	295258.2	296402.66999999975	340708.79999999976	236724.32999999993	346989.83999999973	251044.4399999999	170656.11000000004	243294.9200000001	271598.3100000001	217645.18000000008	268491.4400000002	190135.52999999997	207667.62	237263.0600000002	283392.6200000002	234515.58000000005	266466.85000000003	273735.44999999984	224099.22	261877.63999999993	185999.36	Glycosyltransferases	Brite Hierarchies	Protein families: metabolism
ko00630	683222.1499999998	523800.8899999999	613386.6999999998	781008.5600000004	801645.8299999997	882147.8900000002	650558.0499999999	938003.7399999998	764192.8400000002	411916.55000000005	769170.1499999998	768416.8300000003	648264.1899999997	736371.2600000004	520012.5999999999	608967.1799999999	700110.5999999996	668970.34	674632.2700000001	763964.3899999998	762855.5400000002	676683.98	734455.6300000002	560743.47	Glyoxylate and dicarboxylate metabolism	Metabolism	Carbohydrate metabolism
ko04066	257511.82	160350.80000000002	245438.23000000004	226663.97999999998	271378.6	264457.75	222171.68000000002	269089.0	269892.26	125882.80000000002	270988.17	274406.18000000005	248357.84999999998	231455.74000000002	194193.36	222666.24000000005	245067.91999999998	212441.75	218674.8	236621.88999999996	241612.37	245004.25999999998	246609.08999999997	220248.08000000002	HIF-1 signaling pathway	Environmental Information Processing	Signal transduction
ko05161	1079.0	274.0	3215.0	322.0	247.0	0.0	849.0	1106.0	2991.0	43.0	295.0	1137.0	148.0	493.0	204.33	1080.0	865.0	1177.0	624.0	362.0	1590.0	249.5	46.0	224.0	Hepatitis B	Human Diseases	Infectious disease: viral
ko05160	1079.0	274.0	3215.0	322.0	247.0	0.0	899.0	1106.0	2991.0	43.0	295.0	1137.0	148.0	493.0	204.33	1080.0	865.0	1177.0	624.0	362.0	1590.0	249.5	46.0	224.0	Hepatitis C	Human Diseases	Infectious disease: viral
ko05225	570.8	187.14000000000001	5841.92	1905.6599999999999	973.8499999999999	454.01	3462.9	705.3000000000002	1242.53	9831.77	4441.82	2814.2	379.67999999999995	357.36	616.0899999999999	893.46	1485.6	4675.26	3137.16	1038.25	3506.57	878.03	647.44	840.83	Hepatocellular carcinoma	Human Diseases	Cancer: specific types
ko05168	1079.0	274.0	3215.0	322.0	247.0	46.0	849.0	1106.0	2994.0	113.0	295.0	1137.0	148.0	493.0	204.33	1080.0	866.0	1177.0	624.0	362.0	1590.0	249.5	46.0	224.0	Herpes simplex virus 1 infection	Human Diseases	Infectious disease: viral
ko00340	439814.6900000001	333681.81999999995	408352.6799999999	495015.47000000015	509927.8300000001	529552.2899999999	402933.20999999996	486972.89999999985	504901.78000000014	189287.76	507359.67	514066.48000000016	456439.62000000005	459479.7600000002	369957.72	389183.95	455411.82000000007	410783.26000000007	417603.29	479803.11000000004	476757.4	466153.26999999996	506733.57	400388.41000000003	Histidine metabolism	Metabolism	Amino acid metabolism
ko03440	841092.5	607242.3999999999	768935.99	829767.5	902384.3500000001	957772.4300000002	741288.9900000002	963950.22	875793.7300000001	367346.33999999997	862064.5600000003	887872.1700000002	808146.4999999998	804314.2800000001	672719.0599999998	746146.39	811446.0099999999	773446.3099999998	728092.8700000002	828479.76	887212.2400000003	817507.6799999998	850925.9999999998	705755.73	Homologous recombination	Genetic Information Processing	Replication and repair
ko05166	236.0	0.0	0.0	0.0	0.0	0.0	413.0	0.0	0.0	0.0	0.0	0.0	0.0	231.0	24.0	26.0	14.0	36.0	121.0	0.0	10.0	24.5	0.0	3.0	Human T-cell leukemia virus 1 infection	Human Diseases	Infectious disease: viral
ko05163	843.0	274.0	3215.0	322.0	247.0	0.0	436.0	1106.0	2991.0	43.0	295.0	1137.0	148.0	262.0	180.33	1054.0	851.0	1141.0	503.0	362.0	1580.0	225.0	46.0	221.0	Human cytomegalovirus infection	Human Diseases	Infectious disease: viral
ko05170	843.0	274.0	3215.0	322.0	247.0	0.0	436.0	1106.0	2991.0	43.0	295.0	1137.0	148.0	262.0	180.33	1054.0	851.0	1141.0	503.0	362.0	1580.0	225.0	46.0	221.0	Human immunodeficiency virus 1 infection	Human Diseases	Infectious disease: viral
ko05165	40049.55	25154.26	36177.79	34966.86	41050.320000000014	43115.0	36717.38000000001	41348.570000000014	40412.43	20218.43	39967.31000000001	40738.94	37353.460000000014	35918.83	30894.119999999995	33354.109999999986	39149.4	36879.33	34854.16	36963.2	39392.07	38426.710000000014	35732.27	34449.210000000014	Human papillomavirus infection	Human Diseases	Infectious disease: viral
ko05016	48404.25	36986.48999999999	43671.43	45827.37000000001	46151.69	57207.909999999996	41292.59	54632.45	51124.26	24503.280000000002	41763.22	36952.15	31588.84	42542.96	29598.98	37238.409999999996	35542.79000000001	37681.66	42610.82000000001	47592.9	50119.54000000001	37072.84000000001	45292.159999999996	19320.389999999996	Huntington disease	Human Diseases	Neurodegenerative disease
ko05410	22.0	214.0	88.5	236.0	284.0	0.0	147.5	246.0	14.0	0.0	184.5	8.0	52.0	1165.5	23.0	59.5	14.0	35.0	25.0	123.0	39.0	6.0	28.0	3.0	Hypertrophic cardiomyopathy	Human Diseases	Cardiovascular disease
ko04657	41569.73	30265.57	37458.24000000001	41773.73	41266.37	41904.11	35997.37	42738.65	43266.73	16622.520000000004	46058.68	41584.04	36851.41	39918.210000000014	31186.47	35846.08999999998	42298.83	31874.19	34460.87	39821.2	42996.27	40090.52	39642.57	33182.960000000014	IL-17 signaling pathway	Organismal Systems	Immune system
ko00901	15.0	2.0	0.0	0.0	0.0	0.0	5.0	0.0	10.0	0.0	5.0	4.0	5.0	0.0	2.0	22.0	5.0	5.0	12.0	1.0	0.0	1.0	0.0	0.0	Indole alkaloid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
ko05164	1079.0	274.0	3215.0	322.0	247.0	0.0	899.0	1106.0	2991.0	43.0	295.0	1137.0	148.0	493.0	204.33	1080.0	865.0	1177.0	624.0	362.0	1590.0	249.5	46.0	224.0	Influenza A	Human Diseases	Infectious disease: viral
ko00562	74902.50000000001	71019.9	67188.27	92189.00000000001	99013.58	112642.65	78390.89	117429.96000000002	94677.15999999999	44693.939999999995	99220.62000000001	106297.72999999998	76148.87	93666.18	66240.52	71811.20000000001	90585.39000000001	90866.23	84783.54000000001	98144.27	92154.49	82049.76999999999	91037.51000000001	68373.71000000002	Inositol phosphate metabolism	Metabolism	Carbohydrate metabolism
ko00981	9459.12	4936.1	11469.67	14535.93	10542.15	8818.93	14289.06	5334.7	18351.53	4837.29	9158.78	13282.8	11695.58	8097.559999999998	10589.84	9108.95	12635.2	7216.29	7292.95	9757.0	10065.67	11932.75	17255.07	11381.58	Insect hormone biosynthesis	Metabolism	Metabolism of terpenoids and polyketides
ko04931	91313.99000000002	64899.90000000001	92772.32999999999	79456.22000000002	96663.20999999999	101773.29999999999	88295.35000000002	93473.30000000002	108520.9	40783.07	98918.95999999999	101973.79	96548.89000000001	82871.16	79321.92	79554.79000000001	90632.14	84952.32000000004	79144.28	86727.86000000002	95958.37	96349.98000000001	88243.98999999999	92964.55	Insulin resistance	Human Diseases	Endocrine and metabolic disease
ko04911	0.0	104.0	81.25	113.0	136.5	0.0	116.75	123.0	0.0	0.0	87.25	0.0	43.0	935.25	11.5	25.25	6.0	7.5	12.5	59.0	19.5	0.0	0.0	0.0	Insulin secretion	Organismal Systems	Endocrine system
ko04910	63705.00000000001	44164.42	66980.18	59589.91	64217.11	67791.73	62699.37	60208.99	84058.77	40252.0	78071.71	71391.25	67580.62000000001	61383.65	54127.07	54483.39000000001	60075.97	54566.42000000001	65353.71	62334.200000000004	66112.82	68774.81	63184.37999999999	69974.89	Insulin signaling pathway	Organismal Systems	Endocrine system
ko04040	0.0	104.0	81.25	113.0	136.5	0.0	116.75	123.0	0.0	0.0	87.25	0.0	43.0	935.25	11.5	25.25	6.0	7.5	12.5	59.0	19.5	0.0	0.0	0.0	Ion channels	Brite Hierarchies	Protein families: signaling and cellular processes
ko00950	49172.88	44263.25000000001	38618.08	58885.84000000001	58770.38999999999	74598.16999999998	45510.82000000001	79221.65999999999	53407.290000000015	24917.42	53919.399999999994	52433.44	43267.94	55347.07000000001	37702.16	44424.38	51067.13000000001	57028.369999999995	49322.81000000001	54439.65	57904.29000000001	44074.00000000001	49584.81999999998	37839.75	Isoquinoline alkaloid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
ko05167	1315.0	274.0	3215.0	322.0	247.0	0.0	1262.0	1106.0	2991.0	43.0	295.0	1137.0	148.0	724.0	228.33	1106.0	879.0	1213.0	745.0	362.0	1600.0	274.0	46.0	227.0	Kaposi sarcoma-associated herpesvirus infection	Human Diseases	Infectious disease: viral
ko04091	55.0	0.0	0.0	27.5	249.0	0.0	45.5	0.0	16.5	88.5	0.0	98.0	48.0	0.0	43.0	0.0	46.0	58.0	452.0	19.0	94.0	0.0	25.5	41.0	Lectins	Brite Hierarchies	Protein families: signaling and cellular processes
ko05134	132567.62	84973.62	124343.86000000004	110113.62	125278.8	126910.93	111291.07000000004	132843.41000000003	116291.98	52246.47000000001	129616.42000000001	117986.82	120198.48000000001	111432.26000000001	94255.18	106108.34	114428.87000000002	118339.86000000002	101138.05000000002	120038.19	133670.86	115793.38	119219.01999999999	101131.14000000001	Legionellosis	Human Diseases	Infectious disease: bacterial
ko05140	236.0	0.0	0.0	0.0	0.0	0.0	413.0	0.0	0.0	0.0	0.0	0.0	0.0	231.0	24.0	26.0	14.0	37.0	121.0	0.0	10.0	25.0	0.0	3.0	Leishmaniasis	Human Diseases	Infectious disease: parasitic
ko00903	9613.320000000002	4944.68	13705.67	15029.93	10643.35	8917.300000000003	16140.550000000001	5400.900000000001	18941.33	11759.82	9490.47	13621.599999999999	11695.980000000001	8149.359999999997	10609.84	9143.060000000001	13115.600000000002	9844.76	8564.53	9757.0	11245.769999999999	12015.420000000002	17350.870000000003	11418.33	Limonene and pinene degradation	Metabolism	Metabolism of terpenoids and polyketides
ko00591	1144.35	1732.29	1645.92	3590.58	112.85	633.29	2151.6600000000008	125.1	1301.73	2877.49	2042.63	2098.4	668.28	2811.06	1215.17	1312.6999999999996	1572.2	2485.34	2464.04	2914.25	1003.57	878.9399999999998	1589.67	2118.83	Linoleic acid metabolism	Metabolism	Lipid metabolism
ko01004	540169.1799999997	417267.92999999993	514578.5200000001	574511.1599999999	636369.13	652181.2800000003	492940.7400000001	642962.9399999998	623662.7000000001	260155.62000000002	574822.9299999999	591508.2200000002	516987.19000000006	563477.9300000003	430791.60000000003	475544.0300000002	544162.0399999999	521911.42	493862.1099999999	579139.97	589662.6400000002	559984.65	579224.0800000001	455926.0099999999	Lipid biosynthesis proteins	Brite Hierarchies	Protein families: metabolism
Lipid metabolism	36.6	1.29	542.0	70.0	3.6	17.29	881.03	6.6000000000000005	0.4	2868.91	162.63	163.4	0.2	9.4	5.0	10.77	233.2	944.09	373.29	0.0	589.3	35.69	35.40000000000001	10.25	Lipid metabolism	Not Included in Pathway or Brite	Unclassified: metabolism
ko00571	202.0	77.0	64.0	752.16	291.0	59.5	161.33	1.0	0.0	0.0	1407.0	469.0	4.0	948.0	466.0	45.0	17.67	60.0	2.0	13.0	10.0	7.34	380.0	43.0	Lipoarabinomannan (LAM) biosynthesis	Metabolism	Glycan biosynthesis and metabolism
ko00785	50284.73000000001	35075.25	31224.5	51571.770000000004	47764.96000000001	61462.22	40472.72	68670.27	45346.96	36179.38	56482.14	46683.1	35656.7	56864.680000000015	26887.39	42549.530000000006	50228.3	46896.170000000006	57750.41000000001	55010.990000000005	50481.29	43411.98	42296.03999999999	30472.859999999993	Lipoic acid metabolism	Metabolism	Metabolism of cofactors and vitamins
ko00540	207827.6300000001	312844.71999999956	155171.47	428722.22	332058.1399999997	422887.1699999998	265772.29	551197.3699999996	298706.7300000002	271469.30000000005	292089.7100000002	306366.08000000037	200116.82000000015	346710.4400000004	229217.44999999995	259180.05000000002	273741.7400000002	386198.72000000026	321234.16999999963	355036.60000000003	368439.7599999998	256588.99999999994	322906.5700000004	189706.3899999999	Lipopolysaccharide biosynthesis	Metabolism	Glycan biosynthesis and metabolism
ko01005	299534.44999999984	378112.7699999995	223571.88999999998	542700.51	426423.8699999997	534980.8599999998	355005.05000000005	636567.0099999998	405053.12000000046	307605.95000000007	401772.3700000002	431748.97000000044	285500.6700000003	452506.1000000003	294172.80999999994	316495.0100000002	395423.3900000002	486794.8700000001	405209.3599999996	456618.1600000001	469078.09999999974	357843.75000000023	414296.8300000005	287019.43999999994	Lipopolysaccharide biosynthesis proteins	Brite Hierarchies	Protein families: metabolism
ko04213	71464.1	49322.979999999996	60653.520000000004	76797.93000000001	64248.16	76184.07	70337.03000000001	89023.34	76462.79000000001	47729.73000000001	74494.98999999999	65871.45	58620.18000000001	70919.03	51873.99	64929.380000000005	68587.76000000001	63303.3	64834.69000000001	70614.61	76848.76000000001	67967.53000000001	69048.88	50438.96000000001	Longevity regulating pathway - multiple species	Organismal Systems	Aging
ko04212	157539.86	105499.65000000001	148424.76	153350.72	157726.11	162482.82	148406.82000000004	177302.61000000004	163854.72	93117.51000000001	161317.66999999998	158912.67	142194.35	148372.52000000002	120237.65	138467.00999999995	152467.69999999998	144654.29000000004	139704.6	151072.44	164010.15	149059.03	149040.21	125851.04999999999	Longevity regulating pathway - worm	Organismal Systems	Aging
ko04211	28925.2	20569.25	19617.23	36840.69	25859.14	29878.82	33074.24	44166.42	26922.43	27808.800000000003	33532.88	24974.11	19544.22	32597.25	18827.54	27972.819999999996	29035.590000000004	23750.47	31210.930000000004	31541.160000000003	30340.690000000002	26510.980000000007	26194.159999999993	18102.75	Longevity regulating pathway	Organismal Systems	Aging
ko00300	526252.02	360017.99	509193.6900000002	519601.75	569579.6299999999	591723.7899999999	474864.29000000004	571562.05	589536.2200000002	238994.06000000006	562580.9600000001	589822.62	511332.47000000003	505659.06	426420.56999999995	468125.77000000014	527462.4	488038.21	447758.84	509608.2800000001	562139.79	520742.53000000014	535175.18	463973.1299999999	Lysine biosynthesis	Metabolism	Amino acid metabolism
ko00310	143782.79000000007	77327.35000000002	111324.26999999999	135712.72999999998	110260.03000000001	142189.98999999993	120481.40000000001	125981.74	146287.4899999999	84854.79000000002	139234.81999999998	126183.52999999998	102824.06999999998	121915.65000000002	88888.75	100524.04000000001	127572.70999999999	122855.18	119016.91999999994	120496.78	117781.87000000002	120438.24999999997	112929.05999999995	103268.35000000002	Lysine degradation	Metabolism	Amino acid metabolism
ko04142	175011.50999999998	259177.65000000002	102151.19999999998	354133.89	421733.89	507950.29	226303.91999999998	502315.47	283032.53	172223.41	250313.01999999996	260729.01	207337.80000000002	324828.11	138244.37000000002	209338.06000000006	236218.60000000003	217926.69	346529.30999999994	381733.36	266563.76	228577.53999999998	296435.87	108804.73	Lysosome	Cellular Processes	Transport and catabolism
ko04013	25208.65	16157.96	16363.11	26449.99	23326.92	28809.28	25062.35	31696.47	22252.33	17344.06	27699.5	21428.71	17062.79	24466.52	14939.11	19902.529999999995	22357.090000000004	19489.480000000003	23881.310000000005	26843.83	24684.29	20502.710000000006	23337.559999999994	13430.249999999998	MAPK signaling pathway - fly	Environmental Information Processing	Signal transduction
ko04016	45763.29	27325.579999999998	35859.66	47368.81	35565.18	39352.020000000004	38945.41	54211.83	42774.600000000006	36828.43	38492.41	37584.479999999996	32695.14	38666.09	33501.020000000004	41156.76	35359.03	38978.81	40349.11000000001	30469.17	40303.200000000004	37586.350000000006	36089.509999999995	31840.410000000003	MAPK signaling pathway - plant	Environmental Information Processing	Signal transduction
ko04011	3716.55	4411.29	3254.12	10390.7	2532.2200000000007	1069.54	8011.89	12469.95	4670.1	10464.74	5833.379999999999	3545.4	2481.4300000000007	8130.73	3888.43	8070.290000000001	6678.5	4260.99	7329.62	4697.33	5656.4000000000015	6008.27	2856.6	4672.5	MAPK signaling pathway - yeast	Environmental Information Processing	Signal transduction
ko00515	1.0	0.4	15.0	682.0	0.0	0.0	1.2	137.0	76.0	323.0	0.0	25.6	0.0	0.0	67.0	41.0	73.0	64.0	0.0	278.0	6.0	0.0	0.0	0.0	Mannose type O-glycan biosynthesis	Metabolism	Glycan biosynthesis and metabolism
ko05162	1079.0	274.0	3215.0	322.0	247.0	0.0	849.0	1106.0	2991.0	43.0	295.0	1137.0	148.0	493.0	204.33	1080.0	865.0	1177.0	624.0	362.0	1590.0	249.5	46.0	224.0	Measles	Human Diseases	Infectious disease: viral
ko04113	1566.0	2031.67	355.0	29.83	98.5	35.75	862.3299999999998	883.5	1097.0	77.5	314.0	46.0	431.0	683.0	1100.33	1878.0	602.0	1710.0	124.0	382.0	2557.0	516.6700000000002	104.0	62.0	Meiosis - yeast	Cellular Processes	Cell growth and death
ko04131	183640.72999999998	145822.08	166369.15	205762.44999999998	209318.85	222019.17999999996	170949.66000000003	207946.20000000004	211374.35	102833.8	235000.19999999998	211211.37000000002	186428.88	195014.90000000005	152185.15	160767.2	186232.75000000003	180674.22999999998	188828.09	202352.38999999998	197646.75	188043.06000000006	198492.25	168152.43000000002	Membrane trafficking	Brite Hierarchies	Protein families: genetic information processing
ko03019	682251.55	473566.54999999993	647733.93	672299.25	733661.89	768004.7100000002	620006.81	751052.6099999999	731069.9199999999	357196.61999999994	742608.8000000004	724413.5200000001	662199.1299999999	656507.1100000001	538723.8799999999	600240.21	677614.99	614183.4599999997	607817.8100000003	680761.4099999999	720334.7800000004	669083.5599999996	688781.65	590277.9	Messenger RNA biogenesis	Brite Hierarchies	Protein families: genetic information processing
ko00980	12487.0	18689.129999999997	17161.07	23436.88	26214.02	27103.48	20552.579999999998	41997.590000000004	20596.67	28622.050000000003	17431.01	20417.4	17601.83	19000.920000000002	12906.75	19740.31	16291.24	21513.180000000004	23151.180000000004	24079.33	21932.949999999997	17995.110000000004	22396.249999999996	9420.6	Metabolism of xenobiotics by cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
ko00680	668000.0799999996	523634.32999999984	610408.77	717730.01	804876.7899999999	815037.93	636205.8300000002	810230.6899999998	731076.0600000002	337155.32000000007	722679.1799999999	778718.2300000001	658964.0399999997	723784.7300000003	530488.8200000001	595881.0500000004	665725.5699999995	681401.6700000002	621145.6799999997	713738.3200000001	747680.3700000002	672847.3800000001	744033.7100000002	574269.8600000001	Methane metabolism	Metabolism	Energy metabolism
ko05206	55328.200000000004	46845.11	62694.399999999994	64941.68000000001	74034.48999999999	68302.41	70305.0	50638.57000000001	77140.83	43486.18	94112.14000000001	90750.18000000001	80650.29999999999	75489.65	62805.049999999996	54022.979999999996	80435.40000000001	59616.820000000014	71640.62000000002	76849.6	71474.26000000001	80694.8	60374.73999999999	84107.55	MicroRNAs in cancer	Human Diseases	Cancer: overview
ko04978	32009.65	10970.039999999999	24641.35	16433.31	12163.57	14471.34	21819.71	12966.02	25707.230000000003	15421.650000000001	19283.730000000003	21315.75	20567.78	15993.96	22637.01	21052.25	21416.89	21371.63	15607.62	8991.29	17405.85	23818.480000000003	13236.4	24401.86	Mineral absorption	Organismal Systems	Digestive system
ko03430	707329.6	477899.65999999986	663862.56	660069.9800000001	717332.53	756176.96	619033.5900000001	762434.62	740093.7700000001	314901.6	735080.5200000003	731243.4700000001	667348.2000000001	660395.4400000002	555765.19	615435.1399999999	682654.1999999997	637692.4	590477.75	670550.9099999999	721384.5300000001	687238.2599999999	676726.7999999999	607967.11	Mismatch repair	Genetic Information Processing	Replication and repair
ko03029	1156710.9000000001	789249.6699999999	1084099.7599999998	1076482.2	1195832.1399999997	1224628.7399999998	1008109.8300000001	1240880.8400000005	1164715.2700000003	483982.1200000002	1161159.0299999998	1188767.6	1085628.8900000001	1064898.4300000004	894816.3099999999	1010667.0099999999	1118154.5	1026177.52	976497.5300000001	1087680.8299999998	1186928.0700000003	1097201.82	1126518.6599999997	960771.1500000003	Mitochondrial biogenesis	Brite Hierarchies	Protein families: genetic information processing
ko04137	472.0	0.0	0.0	0.0	0.0	0.0	826.0	0.0	0.0	0.0	0.0	0.0	0.0	462.0	48.0	52.0	28.0	72.0	242.0	0.0	20.0	49.0	0.0	6.0	Mitophagy - animal	Cellular Processes	Transport and catabolism
ko00261	230967.3	172410.21000000002	209279.52000000002	244670.10000000003	277410.13	298611.54000000004	214469.24000000002	284341.92000000004	271084.31	114077.40000000001	268508.55000000005	266363.88	229269.46000000002	243263.26	181811.91	197960.93999999997	247687.53000000003	221614.51	220182.63000000003	255058.76	268055.94	228483.11000000002	246477.23	198044.72999999998	Monobactam biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
ko00510	27554.5	21596.92	18043.29	30918.89	27854.87	34021.01	25673.990000000005	33561.01	25754.86	6702.53	22386.41	26203.14	17840.23	29081.08	17808.04	20715.320000000003	23576.23	25452.7	21583.4	28011.87	26012.57	20070.21	23548.3	18738.620000000006	N-Glycan biosynthesis	Metabolism	Glycan biosynthesis and metabolism
ko04621	152178.32	101289.64	141677.13	138212.77	162588.33000000002	162359.95	124547.01000000001	144856.94	143299.67	47100.19	163749.53999999998	141972.16	147596.56	137370.90000000002	112181.81	122308.97999999998	134111.78999999998	125492.96999999999	116095.78000000001	151728.33000000002	152543.8	140571.15	147999.20999999996	120948.83000000002	NOD-like receptor signaling pathway	Organismal Systems	Immune system
ko00626	33858.75	24123.489999999998	32405.07	37996.68	43985.67	39001.38	33727.76	47916.759999999995	44465.7	26449.22	38751.149999999994	41673.51	38423.380000000005	30511.66	28901.75	32902.990000000005	28917.97	32741.710000000003	29037.99	35159.25	34229.549999999996	35848.670000000006	40584.6	28698.260000000002	Naphthalene degradation	Metabolism	Xenobiotics biodegradation and metabolism
ko04217	174285.65000000002	132809.55000000002	180202.86	190255.74	204659.5	221562.47000000003	164429.25	197076.76999999996	216724.69000000003	79370.49	204295.82	205910.97	183123.54000000004	179885.81000000003	148316.52000000002	157315.6	182382.00000000003	161066.84999999998	162830.42	188959.31	193351.33	185624.52	190616.07	170819.7	Necroptosis	Cellular Processes	Cell growth and death
ko00524	66497.5	47259.47	64241.47999999999	65744.51000000001	61979.69000000001	70843.38	67331.28	70354.37	87916.33	37370.430000000015	101392.43	85179.68	64433.020000000004	79981.59000000001	51539.77999999999	54699.11000000001	86209.69	59855.340000000004	76463.0	83268.95	66680.19	77231.93	62637.689999999995	78761.81999999999	Neomycin, kanamycin and gentamicin biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
ko00760	448936.99	324012.81	429613.19	417288.36	492248.2899999999	516851.30999999994	410871.9900000001	526349.46	497917.6700000001	220737.69000000003	484397.29000000004	483882.73000000004	425683.8500000001	447769.4000000001	348616.73	397706.61999999994	452472.93	428051.9600000001	407313.7899999999	459539.17999999993	485812.06999999995	451174.98	450200.24000000005	382284.5399999999	Nicotinate and nicotinamide metabolism	Metabolism	Metabolism of cofactors and vitamins
ko00910	303550.29000000004	264824.66000000003	299437.69999999995	382203.64	403384.32000000007	454657.3300000001	305971.2699999999	398179.06	386489.48000000004	177794.14	401223.19999999995	397117.06000000006	323410.63999999996	349452.35000000003	273609.63	281948.52999999997	330573.61999999994	322733.34999999986	316923.87	368553.74	377286.08	340984.45	365298.14999999997	296385.10000000003	Nitrogen metabolism	Metabolism	Energy metabolism
ko00633	37977.39999999999	23099.180000000008	26932.009999999995	46242.1	36914.78	16134.54	45672.36	30681.4	23127.49	53125.84999999999	28045.44	51038.29	33563.72	35700.69	28967.660000000003	40153.31	27437.739999999998	28074.97	42000.76	23164.989999999998	34837.3	35510.98999999999	44810.40000000001	34126.23	Nitrotoluene degradation	Metabolism	Xenobiotics biodegradation and metabolism
ko04932	1139.0	280.5	8448.5	437.0	253.0	8.5	1677.0	2244.5	4527.0	86.0	302.0	3723.0	148.0	502.0	484.32000000000005	3320.0	1530.5	1786.0	2143.58	1448.0	3156.0	255.5	116.0	225.5	Non-alcoholic fatty liver disease	Human Diseases	Endocrine and metabolic disease
ko03450	25748.5	256.0	10577.75	463.5	262.5	305.5	7248.25	172.5	1485.0	283.5	847.41	594.34	5411.0	1670.25	3825.0	7349.59	5873.82	742.5	2426.0	724.5	568.5	5450.5	901.5	2597.16	Non-homologous end-joining	Genetic Information Processing	Replication and repair
ko01054	10514.17	3653.540000000001	7710.75	12640.25	5537.8	7351.1	5229.0	4017.67	15753.33	824.0	8099.33	10104.67	10300.0	7274.42	8598.25	6890.57	7036.0	6780.95	4121.04	5406.75	8961.0	9687.5	10426.15	9618.83	Nonribosomal peptide structures	Metabolism	Metabolism of terpenoids and polyketides
ko00401	120425.90000000001	84705.67	106088.75	118719.02000000002	123669.54999999999	139991.74999999997	106752.42	140776.50999999998	123419.68000000002	57147.630000000005	130764.25	124779.54999999999	111733.29000000002	115889.81	93689.39	104997.35	119066.77000000002	126163.95999999999	107436.65000000002	116365.27	126950.70000000001	115313.92000000001	116607.19999999997	102228.45	Novobiocin biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
ko03420	343931.76999999996	233255.80999999997	323210.80000000005	316285.23000000004	346263.39	375751.86	303772.05000000005	355802.76000000007	365731.31000000006	158794.36000000002	357022.7100000001	352506.93	327849.97000000003	313134.78	271775.73	297044.37	331547.61	307490.11000000004	301797.86	321448.2	351849.32999999996	333950.32999999996	329516.35	290597.31000000006	Nucleotide excision repair	Genetic Information Processing	Replication and repair
Nucleotide metabolism	2840.2	3681.64	9815.5	1416.8	6641.9	6207.490000000001	4960.96	2437.62	2514.5	3412.41	6222.18	5342.799999999999	9350.45	3964.7400000000002	4413.25	5080.47	6948.980000000001	9374.49	3520.14	6844.25	7946.55	5318.68	10202.820000000002	6027.75	Nucleotide metabolism	Not Included in Pathway or Brite	Unclassified: metabolism
ko00541	537003.8300000001	445636.64	444449.13	610291.2200000001	570249.36	653000.95	490042.9800000001	630962.1699999999	620213.6499999999	275039.69999999995	693830.2100000001	636230.65	490413.8400000001	612486.5399999999	419371.9100000001	428798.6	638669.1400000001	545423.69	551066.1500000001	626848.02	620703.2200000001	554938.7699999999	541441.7999999999	495747.8	O-Antigen nucleotide sugar biosynthesis	Metabolism	Glycan biosynthesis and metabolism
